"Account Number","Name","Company","Street","City","State","Zip","Email","Birth Date","Favorites","Standard Payment","Payments","Balance"
"01-042695","Joe S Valacich","San Pedro Electric","100 Atwater Dr","San Antonio","TX","78213-3318","fbkenhu@hotmail.com","09/05/1978","XA|TA","127.00","100.87","277.06"
"01-050185","Duncan M Holthausen","WSOC Radio","775 Brevard","Charlotte","NC","28216-2876","jadeyeye@jcsu.net","10/04/1968","ED","140.00","150.00","408.43"
"01-051254","George W Warner","Celery City Ford","6767 W O Avenue","Kalamazoo","MI","49003-4070","achan@kucc.net","01/17/1973","CC|AC|TA","126.00","126.00","261.12"
"01-065119","Robert Mifflin","Novus Health Group","P O Box 3300","Somerville","NJ","08876-1265","alfred@raritanval.net","10/07/1970","BA","124.00","124.00","243.39"
"01-067388","Karla Yale","Pendleton Growers Assn.","3198 NE Flintlock Place","Corvallis","OR","97330-3967","bergm@ucs.net","09/02/1965","RB|RA","111.00","111.00","118.65"
"01-072151","Lawrence L Garber","Fairfax Capital Management","822 Mason Road","Fairfax","VA","22030-4444","chall7@gmu.com","01/26/1962","AB|MA|CC","132.00","132.00","325.18"
"01-072723","Brian M Lewis","Beach Printing/Distribution","2205 S Palmetto Avenue","South Daytona","FL","32119-3007","shivo@aol.com","08/04/1966","MA|CA","139.00","139.00","392.36"
"01-076116","Fred Lybrand","Michigan State University","1555 S Raisinville Road","Monroe","MI","48161-9047","kahme@livetoad.com","10/13/1943","CA|RB","120.00","120.00","205.47"
"01-077422","Mark Monroe","Angeles Mountains Electric","1555 S Mountain Road","San Bernardino","CA","92407-4657","mmonroe@mountain.com","10/13/1943","CA|RB","120.00","0.00","0.00"
"01-083779","Mike Gallivan","Ken Gibson Assoc.","99 Brown","Ithaca","NY","14853-4201","welltwo@mornell.com","01/06/1979","AB","161.00","200.00","611.07"
"01-092195","Gordon Chaffee","Macomb Employees Credit Union","1 University Circle","Macomb","IL","61455-1367","right23@nabors.com","06/17/1979","AB","182.00","182.00","829.24"
"01-092766","Robert Setoputro","Shenandoah Electric","3506 Wards Road","Lynchburg","VA","24502-2498","tkinson@cv.us","06/20/1967","EB","155.00","155.00","550.64"
"01-095839","Shannon Anderson","Anderson Consulting","32 Elmburg","Keuka Park","NY","14478-9804","triumph23@msn.com","11/12/1944","FA|SB","101.00","18.60","18.60"
"01-108585","Rebecca J Slotegraaf","Iowa Technical College","500 College Dr","Mason City","IA","50401-7213","leadr@niacc.net","08/28/1960","RA|JA","158.00","200.00","583.14"
"01-125726","E. Andrew Boyd","Harrison Mall Mgmt.","2398 Indianapolis Highway","West Lafayette","IN","47907-1968","ram@cs.purdue.edu","05/19/1961","GA|KA","128.00","200.00","287.50"
"01-127662","Alex Hilgendorf","Bank One","15643 94th Avenue","Florissant","MO","63034-2174","adelanil@hssc.com","01/04/1956","RA|SB","102.00","100.00","25.12"
"01-129203","Ruth B Schwartz","Oil City Enterprises","PO Box 310","Port Arthur","TX","77640-0310","","09/13/1962","EC|FA|GA","163.00","163.20","639.90"
"01-131146","Andres Losada","Desert Cities Bank","5 W College Avenue, #3135","San Bernardino","CA","92407-203","hmudd@startrek.com","04/26/1943","TA|MA","126.00","126.00","268.73"
"01-138321","Jim Brumbaugh-Smith","Town of Kent","76 Arvada Court #3","Kent","OH","44242-0001","clark@sman.net","01/24/1975","FA|LA","107.00","70.00","76.43"
"01-148296","Ellen M Coopersmith","Rose Bowl Printing","5509 Altamont","Pasadena","CA","91125-4958","sever@cco.net","04/24/1947","FA|XA","119.00","119.00","193.74"
"01-149407","Brian J. Rose","Indy 500 Association","5509 Altamont","Indianapolis","IN","46202-3333","br0se@indy.net","04/24/1947","FA|XA","119.00","0.00","0.00"
"01-151457","Barry Smith","Prime Control Systems","1140 W Mission","San Marcos","CA","92069-1073","ufmann@home.com","01/22/1966","RB","172.00","172.00","728.40"
"01-163993","Robert D Foley","Van Vreede's","998 Werefringe","Indiana","PA","15705-3290","wherefur@nasal.net","06/10/1982","TA|LA","147.00","147.00","478.70"
"01-168901","James S Scott","Insurance Brokerage Services","1555 Meadow Oak Drive","Snellville","GA","30278-4775","maslam@peachnet.com","08/09/1973","MA","119.00","119.00","195.50"
"01-170262","Mark L Mitchell","Mitchell Travel","PO Box 188","Ladson","SC","29456-0188","alston@trident.net","05/11/1943","RA","130.00","201.34","300.83"
"01-171789","Kurt M Bretthauer","M & M Advertising","562 Pineville Road","Allendale","MI","49401","aboutface@msn.com","02/14/1946","EC","138.00","170.00","388.82"
"01-176009","Stefan Schackow","Boeing Aircraft Sales","3400 Pershall Rd","St Louis","MO","63135-9876","rarm34@fv.mo.us","03/15/1946","SB","137.00","140.65","371.79"
"01-177285","Marie-Claude Boudreau","Bucks County Computers","435 Elmhurst Road","Lock Haven","PA","17745-0298","weysin@eagle.net","02/16/1967","AB|CB","110.00","106.00","106.04"
"01-185992","Richard L Smith","O'Donnell Publishing","7777 S May Ave","Oklahoma City","OK","73159-4444","ustin@okc.ok.us","06/21/1969","CC","119.00","120.33","196.50"
"01-199222","Victoria Buenger","Mid-Western Ice","402 N Blackford Street, Suite LD2","Indianapolis","IN","46202-3216","imqb100@indyvax.bitnet","12/22/1951","CB|AC","123.00","230.51","230.51"
"01-208791","Michele Pfund","Four D Corporation","557 Hoffman Lane","Fair Oaks","CA","95628","arc@losrios.ca.us","05/02/1953","LA|EC","101.00","101.00","18.70"
"01-212638","John Scott Provan","Andrews Mautner, Inc.","1140 W Mission Road","San Marcos","CA","92069-8845","ron@tobey.com","12/19/1969","BA","150.00","160.00","501.74"
"01-212842","Sean Williams","Nathan Electric","1140 W Mission Road","Chandler","AZ","85224-4859","swilliams@nathanelec.com","12/19/1969","BA","150.00","0.00","0.00"
"01-213851","Tyson Browning","Laser Typesetting Inc.","Box 2220","Brookings","SD","57007-0987","ross.arm@texaco.com","07/04/1959","XA","106.00","66.91","66.91"
"01-218171","Julie Swann","Wallach & Assoc.","1600 Woodland Road","Abington","PA","19001-3918","ba3@psu.edu","12/08/1966","SA|AB","122.00","1023.33","220.92"
"01-226834","Roger F Harris","Town of Farmington","2010 N Tucker Avenue Apartment 4","Farmington","NM","87401-0000","ret445@msn.com","12/08/1967","SA|XA|CA","117.00","117.00","175.94"
"01-231951","Paul Goldsman","Down East Cablevision","29 Scribner Road","Tyngsboro","MA","01879-2311","jamesdaff@yahoo.com","04/19/1956","KA","102.00","24.46","24.46"
"01-251757","Greg A Cook","Print & Mail, Inc.","5734 S University Avenue","Chicago","IL","60637-0234","boy34@chicago.net","09/19/1984","MA|XA","182.00","200.00","824.78"
"01-252327","David J Bryg","Jewelers Mutual Insurance","111 Cummington Street","Boston","MA","02215-2411","movic@bu.org","09/18/1964","MA","146.00","150.00","467.42"
"01-253217","Paulette Armstrong","Burton Karstedt Assoc.","324 Pforzheimer Mail Center","Cambridge","MA","02138-7529","jabbott@harvard.edu","05/01/1955","RA|EC|JA","114.00","140.93","141.93"
"01-273125","Michael W Lawless","Phoenix Rod & Gun Club","2626 E Pecos","Chandler","AZ","85224-3987","scott@cgcmail.net","10/17/1959","RA","139.00","200.00","398.79"
"01-276058","Arthur B Cummings","American Legion Post #9388","208 Lovinggood","Tallahassee","FL","32306-4510","sach@mafsu.net","03/28/1950","CC|RA","101.00","11.09","11.09"
"01-281723","Patrick L Schultz","TechLine Inc.","310 SDC Upper College Drive","Alfred","NY","14802-1101","ashwe@alfredstate.edu","06/16/1959","CC","124.00","2.00","249.36"
"01-291026","Lazarus Long","Crabtree Farms","310 Highway 29","Chapel Hill","NC","27514-0076","llong@earthlink.net","06/16/1959","CC","124.00","0.00","0.00"
"01-293397","Michael Grant","Data One Computer Service","3611 Lakefield","San Antonio","TX","78230-2300","wicker@lonestar.com","08/19/1975","SA","159.00","159.00","590.74"
"01-297066","Richard M Franza","Norman School District","1203 Rebecca Lane, #229","Norman","OK","73072","","10/19/1978","RA|AC","173.00","173.00","734.31"
"01-298241","Ben C Ball","Banta Corporate Park","1340 N 42nd Street, #2506","Tampa","FL","33613","ahm_farah@yahoo.com","04/29/1942","XA|JA","175.00","203.45","750.94"
"01-313244","Matthew O Jones","HRC Inc.","RR 3 Box 30","Georgetown","DE","19947-3948","bott@outland.net","12/24/1965","CB|KA","105.00","105.00","57.07"
"01-316315","Robb L Collins","Phopar Gemstones","245 President Avenue","Providence","RI","02906-5537","wond3@nome.net","10/23/1970","ZZ","105.00","57.43","57.43"
"01-327724","Anthony Hillman","Sutherland Electric","567 Cornfield Highway","Grinnell","IA","50112-1640","delbe@grin.net","07/26/1974","CB|SA","142.00","142.00","420.90"
"01-344454","Susan K Norman","Norman Slot Machine Svc.","700 College Drive","Henderson","NV","89015-0023","randy@nevada.net","05/14/1978","MA","111.00","111.00","111.41"
"01-368342","Richard Staelin","Uffenbeck Diamonds","29 A Davie Circle","Chapel Hill","NC","27514-0086","ndavery@email.msn.com","04/25/1982","LA|RB","104.00","100.00","48.08"
"01-368469","Michael J Lenox","Equitable Reserve Association","PO Box 7380","Paducah","KY","42002-2003","rhonda@kctcs.net","11/13/1972","XA","108.00","108.00","83.30"
"01-380378","Roger W Baugher","Derksen Printing","1315 E Hillside, #63","Laredo","TX","78041-0986","ttake@hotmail.com","02/04/1973","GA|LA","154.00","166.00","540.31"
"01-381278","Ralph C. Kramden","University Transport","9987 W. University","Ann Arbor","MI","48110","rkramden@arbortree.org","02/04/1973","GA|LA","154.00","0.00","0.00"
"01-382813","Gordon M. Bolt","TAMU Century Club","1203 A Munson Avenue","College Station","TX","77840","ferr2345@msn.com","02/29/1952","CB","113.00","67.00","131.87"
"01-384334","George W Hausler","Faye's Fine Jewelry","220 Indian Park Drive, #1701","Murfreesboro","TN","37128-3398","jta2121@att.net","06/09/1945","CB|FA|RB","101.00","100.00","19.05"
"01-387492","David Anderson","Haugners Inc.","634 Madison Park Circle","College Park","MD","20742","jacks@cyberramp.net","12/05/1940","XA","109.00","93.02","93.02"
"01-410635","Fred V Wolford","Pyramid Marketing & Advertising","222 Mohawk Street","Tavernier","FL","33070-2116","aballest@mdcc.net","12/24/1970","RB","113.00","113.00","137.75"
"01-418001","Robert Plante","Maryland Limousine Service","P O Box 8","Wye Mills","MD","21679","dandrew@chesapeake.com","11/28/1945","FA|BA","113.00","113.00","138.00"
"01-425941","Richard A Ehrhardt","Cod Restaurant Supply","1917 Rice","Providence","RI","2912","karen@brown.net","03/01/1943","KA","123.00","123.00","235.92"
"01-427862","Christopher D Geiger","Pat Woods Inc.","2300 Bronfman Apt 342","Williamstown","MA","1267","colin.adams@williams.com","12/04/1984","SB","102.00","25.22","25.22"
"01-428096","Forrest L Hodge","Creative Learning International","480 Lincoln Drive","Madison","WI","53706-1380","dem45@wisc.net","03/25/1977","SB|MA","108.00","108.00","81.38"
"01-435394","Timothy G Goddard","United Health Corp.","500 E University","Ann Arbor","MI","48109-1120","fca@umich.edu","12/22/1940","CC|EC","119.00","119.00","190.24"
"01-438824","Charles Iacovou","Memorial Florists","66 Blauveld","Indiana","PA","15705-7765","fadkins@iup.com","03/20/1971","EA|CC","106.00","106.00","60.73"
"01-469227","Christopher Storey","Dewey, Cheatam & Howe LLC","7061 Woodridge Road","Stantonsburg","NC","27883-9230","vaycock@wilson.com","03/05/1954","RB|JA","105.00","105.00","58.78"
"01-478324","Ellen Dougherty","Greyfield Farms","12337 Ranch Road","Falls Church","VA","22043-1198","edougherty@greyfield.com","03/05/1954","RB|JA","105.00","0.00","0.00"
"01-499104","James Cox","Empire State Motors","234 W 35 St","New York","NY","10027-0056","after@mattress.net","02/04/1953","LA","101.00","17.27","17.27"
"01-501622","William C Perkins","Weidert Group Inc","2 S Kendrick Avenue","Gillette","WY","82716-3857","mickey@whecn.com","07/23/1956","KA|CA|XA","166.00","166.00","666.33"
"01-508903","Robert M Thrall","Principal Financial","2816 Royal Bluff","Decatur","GA","30030-0298","ailey@amcmail.net","12/21/1981","RB|MA","150.00","150.00","503.79"
"01-527024","Scott Rockart","Woodfield Suites","PO Box 2058","Omak","WA","98841-2058","valleygirl@nomad.net","09/23/1985","CC|AB","110.00","110.00","102.03"
"01-535171","Anne Miner","Master Lithography","504 E 13Th St","Cassville","MO","656259983","aallphin@crowder.net","11/11/1961","XA|MA","116.00","120.00","164.62"
"01-536727","John A Jasperse","Green Mountain Boys Ranch","297 Cold Spring Road","North Bennington","VT","05257-9748","mound33@sisco.net","05/27/1986","GA","104.00","300.00","47.66"
"01-541523","David A Nembhard","Ad Works","2118 Greenwich Street","Falls Church","VA","22043-5687","erson@nw.net","11/15/1941","AB|LA","154.00","160.00","543.45"
"01-552482","Eve Burke","Directions Inc","2 Grace Court Apartment 6L","Brooklyn","NY","11201-4151","sbraw@drew.com","02/07/1953","SB|KA","177.00","180.00","774.07"
"01-553434","William R Maki","Counseling Resource Center","43 Arty Dr #2","Williamsville","NY","14221-3766","tanumah@yahoo.com","03/24/1965","SB","107.00","110.00","79.36"
"01-553793","Paul F West","World Wide Auto Parts","150 E 100 N","Ephraim","UT","84627-9487","kari@snow.net","02/10/1946","KA","134.00","100.00","347.92"
"01-558342","Greyson Tannenburg","Emerson Electric Corp.","1822 US Highway 68","Maysville","KY","41056-0304","gtannenburg@emerson.com","02/10/1946","KA","134.00","0.00","0.00"
"01-560747","Henry L Nuttle","Secura Insurance","1809 SW 11th Avenue Apartment 404","Portland","OR","97201-5968","rda@pdx.edu","08/22/1963","AB","101.00","101.30","16.16"
"01-564411","Christopher Raftery","Witthuhn Printing","36 Wellington Parkway","Palm Harbor","FL","34685-9887","angel4036@aol.com","05/06/1960","KA|TA|RB","138.00","120.00","380.19"
"01-565123","Douglas B Guthe","St Mary's Central High School","208 Love Building","Tallahassee","FL","32306-4510","r16309t@mason.com","02/15/1958","AC|FA|EA|GA","131.00","131.00","311.06"
"01-596092","Richard C Smock","Valley Periodontics","1332 Riviera Avenue","New Orleans","LA","70122-4598","autin@gnotn.org","04/09/1971","RA|BA","141.00","140.00","413.08"
"01-609663","William L Lehmann","Neenah Construction","110 E 21st St","Andover","KS","67002-7734","attica2@iam.net","07/22/1982","MA|EA|ED","168.00","200.00","687.93"
"01-610218","Karen I Aardal","YMCA of Claremont","850 Columbia Avenue","Claremont","CA","91711-6420","jaarao@benson.edu","05/19/1956","FA|ED|JA","107.00","76.52","76.52"
"01-611405","James G Morris","Chapel Hill Medical Center","719 Emory Drive","Chapel Hill","NC","27517-4876","","03/23/1949","EB","145.00","201.00","452.52"
"01-616706","Bintong Chen","Chen Seismography Services","41547 Nonpareil Drive","Palmdale","CA","93551-5384","irvbueg@yahoo.com","12/09/1971","AC|CA","136.00","136.00","366.76"
"01-620767","S Christian Albright","Klusendorf Chiropractic","12345 Kalamazoo Rd","East Lansing","MI","48824-4009","abbas@math.com","09/26/1962","TA","105.00","65.23","52.76"
"01-630735","Bruce E Kaminski","Drucks Plumbing","1755 US Highway 68","Maysville","KY","41056-4998","abne@ukcc.uky.edu","01/22/1977","TA|KA","106.00","110.00","66.53"
"01-636654","Gerald Vitale","Vitale Investments","1624 N Wells St.","Chicago","IL","60614","gvitale@vitale.com","01/22/1977","TA|KA","106.00","0.00","0.00"
"01-641739","Carol V Brown","Market Link","9878 Pacifica","Santa Cruz","CA","95064-1099","elain@earthlink.net","05/02/1955","JA","166.00","200.00","663.60"
"01-642782","J David Grow","Norandex","588 Cascade","Portland","OR","97207-0751","scottie@minsk.net","11/22/1974","AB","102.00","106.00","24.40"
"01-645982","Gary L Hogg Jr","Sierra Camping and Outdoor","9575 Reseda Boulevard Apt 160","Northridge","CA","91324-2369","absolutemax@netzero.net","02/05/1981","KA","137.00","137.00","375.37"
"01-646596","Steven M Hare","Maryland Credit Union","9823-C Severna Road","College Park","MD","20742-4015","brite23@hotmail.com","12/29/1969","CC","114.00","114.00","146.05"
"01-648951","Gunilla Sundstrom","Legal Seafood Co.","3776 McDowell Lane","Baltimore","MD","21227-4958","gayine@howard.net","11/14/1985","EA|MA","158.00","84.65","588.32"
"01-651278","Kathryn E Caggiano","Madison Construction","201 High Street","Farmville","VA","23909-2098","babs@longwood.net","02/22/1982","EC|LA","102.00","27.51","27.51"
"01-668759","James W Bronson","Make-a-Wish Foundation","708 S Ada Street #3","Chicago","IL","60607-4122","wolf43@cland.com","10/23/1976","RB","174.00","174.00","747.87"
"01-672011","Casey Diekman","Montgomery County Govt","5908 Halsey Road","Rockville","MD","20851-0012","aackerbe@erols.com","01/24/1958","AC|CB","163.00","163.00","638.01"
"01-673528","Jan B Heide","Champaign Champagne","250 Altgeld","Urbana","IL","61801-0034","adanbant@mol.org","01/31/1955","SA|CA","111.00","116.35","116.35"
"01-674085","Christopher S Tuggle","Capital Corral","316 S Beltline Boulevard","Columbia","SC","29205-9308","wonder@mtc.mid.us","07/03/1953","JA","113.00","120.00","135.31"
"01-687977","Jamie R Wieland","Peninsula Electric","9680 Mellowood Court","Plymouth","MI","48170-3839","four44@school.net","02/31/1956","EC|LA","111.00","120.00","110.93"
"01-689832","Paul Goodman","Goodman Electric","57 Industrial Court","Tacoma","WA","98406-4568","pgoodman@yahoo.com","02/31/1956","EC|LA","111.00","0.00","0.00"
"01-692097","Christos Alexopoulos","Onassis Shipbuilding","162 Hoyt Street","Brooklyn","NY","11217","try7765@yahoo.com","08/21/1972","TA","155.00","188.00","554.52"
"01-694224","Jeffery K Cochran","Louisiana Patrolmen's Assn.","1290 Park Boulevard","Baton Rouge","LA","70806","scoope3@lsu.com","03/29/1980","SB|SA|BA","106.00","69.60","69.60"
"01-700585","Elizabeth Waltz","Mathis, Enriquez Assoc.","2800 E Spring Creek Parkway","Plano","TX","75074-0098","aba445@airmail.net","06/29/1976","EA|CA","118.00","118.00","181.15"
"01-706685","Mark K Brazier","Hemmingford Home Sales","56 Peakview","Boulder","CO","80309-0526","markjab@newton.com","04/08/1965","ED|AC","166.00","322.45","664.01"
"01-731789","Shari L Murray","Mid-Cities Marketing","1813 Wellington","Grand Prairie","TX","75051-1813","betty.anderson@tccd.net","09/09/1959","RA|AC","119.00","165.34","197.98"
"01-735976","Ted L Gifford","Derby Advertising","9956 Bluegrass","Lexington","KY","40506-0027","dave@notmail.net","01/24/1969","SB","111.00","111.00","110.06"
"01-736087","Tucker M Moon","Smoky Mountains Photo","10915 Hardin Valley Road","Knoxville","TN","37933-4985","bammons@pstcc.net","07/04/1965","RA|EC|CB|EB","124.00","1000.00","245.50"
"01-742106","Paul M Griffin","Griffin Accounting LLC","6823 St Charles Avenue","New Orleans","LA","70118-9809","oilcan@metarie.net","06/09/1962","EB|SA","119.00","119.00","198.71"
"01-761325","Paul Solomon","SEATAC Airport Commission","2501 N Union Ave","Tacoma","WA","98406-0023","omecavery@harbornet.com","01/11/1955","CC","104.00","100.00","43.84"
"01-769236","David S Rubin","Texas Transmission","9700 Wade Boulevard","Frisco","TX","75035-0098","bardis@ccccd.net","03/27/1958","XA","150.00","200.00","502.70"
"01-769435","Roger Stanton","Hawaii Books","28 Kalua Way","Kahului","HI","96732-4557","rstanton@hawaii.net","03/27/1958","XA","150.00","0.00","0.00"
"01-770797","Elliot Bendoly","Hope Foundation","1200 N University Drive","Pine Bluff","AR","71601","wilder@msn.com","07/03/1957","SB|FA","162.00","400.00","627.01"
"01-771373","Philip J Mizzi","Anacostia Motors","PO Box 1203","Butler","PA","16003-1203","mameduri@hotmail.com","03/03/1961","BA|KA|EC","139.00","111.00","394.61"
"01-783006","Terrence Ogden","Sachem's Watch Co.","900 Lafayette Boulevard","Bridgeport","CT","6604-9008","ho-and@commnet.net","01/15/1944","CA|CB","155.00","160.00","551.09"
"01-783059","Thomas W Miller","Long Island Restaurants","44 Springfield Boulevard","Bayside","NY","11364-5998","pallaire@qcc.com","06/30/1956","BA|AC|CA","133.00","133.00","338.67"
"01-789739","J Wesley Barnes","Pine Barrens Golf Club","456 Piedmond Drive","Greenville","NC","27858-2730","abdulalis@ecu.org","10/10/1948","JA","160.00","607.67","607.67"
"01-814717","Brenda M Hensley","Peachtree Printing","P O Box 467746","Atlanta","GA","31146-0023","adegokeo@acm.org","06/18/1969","SA","161.00","165.00","612.18"
"01-830237","Albert H Segars","Ford Assembly Plant 67","1401 E Court St","Flint","MI","48503-0034","cat44@edtech.com","09/29/1970","AB","107.00","107.00","70.49"
"01-830829","Thomas M Burwell","US Department of Commerce","263 G Street SW","Washington","DC","20052-    ","p.amaze@td.gov","03/09/1949","FA|TA","119.00","119.00","194.27"
"01-837895","Ray G Kummerow","Lanai Lanais","310 Kaahumanu Avenue","Kahului","HI","96732-","redkathy@mauicc.com","02/19/1974","BA|XA","104.00","100.00","46.32"
"01-843113","D Brent Bandy","Hudson Farm Equipment","1356 Rocky Butte","Moscow","ID","83844-1103","abdo9538@uidaho.edu","01/31/1978","JA|EC|KA","176.00","511.00","760.50"
"01-844488","Cynthia D. Laws","Squaw Peak Estates","1202 W Thomas Road","Phoenix","AZ","85013-2332","tom456@pcmail.net","12/01/1967","CA|RA|CC","124.00","125.00","243.25"
"01-858531","Donald L Keefer","Ten-Pin Bowling Center","4170 Arlington Drive","Brunswick","OH","44212-0087","malek@tri.com","11/18/1951","TA|XA","174.00","180.00","741.79"
"01-873087","Kevin Dooley","Mission Valley Hotel","1818 Granada Avenue Apartment 4","San Diego","CA","92102-1135","ack@nethere.net","01/23/1960","RB","107.00","70.77","70.77"
"01-898489","John Mc Gahan","Naperville Electric","904 Riverview Lane","Maomet","IL","61853-2298","alexander@parkland.net","02/05/1973","AB|KA","116.00","116.00","160.96"
"01-906629","Juan D Velasquez","Baskin-Robbins, Inc.","5430 Baltimore Drive, #76","La Mesa","CA","91942-0948","eddicb@concentric.net","01/23/1980","LA|RB|TA","148.00","987.23","482.74"
"01-907047","Lori R Johnson-Payton","Takoma Driving School","7600 Takoma Avenue","Takoma Park","MD","20910-0045","bey@mc.cc.md.us","07/16/1961","LA","186.00","186.00","864.37"
"01-920724","Mark Ferguson","Great Plains Manufacturing","908 Pheasant Ridge","Emporia","KS","66801","red453@harness.com","08/17/1953","RA","107.00","73.71","73.71"
"01-929887","Jeffrey Day","Amundsen Construction","90 Prairiegrass","Wichita","KS","67260-0033","donald@fringe.com","11/17/1980","EC|RA|EA","127.00","130.00","276.19"
"01-929999","Portia I Bass","ICU Communications","1961 Hunter Drive","Rocklin","CA","95765-5431","aabbcc@nu.net","06/30/1960","RA|GA","118.00","87.45","181.62"
"01-939163","Dale J Kennedy","Aircraft Service Corp.","5903 Summer Court","Jacksonville","FL","32216-2300","sunny99@nfla.net","11/18/1945","CB","117.00","201.45","178.48"
"01-950548","Fernando Bernstein","Mountain States Plumbing","1232 Annanberg","Bozeman","MT","59717-0045","abel@math.com","05/20/1947","EA","117.00","117.00","177.14"
"01-985417","Charlie E Stevens","Mission Oaks Resort","746 Mission Oaks Ln","Santa Barbara","CA","93105-2354","avery@miracosta.net","10/14/1961","RB","166.00","170.00","660.42"
"01-987507","Darren Stevens","New York State Thruway","5344 Bronx Avenue","Rochester","NY","14605-8867","dstevens@nysthruway.com","10/14/1961","RB","166.00","0.00","0.00"
"01-990288","Robert R Merkovsky","The Tennis Center","7337 Austin St #2C","Forest Hills","NY","11375-0056","siham@prof.com","04/04/1976","CA","113.00","113.00","136.65"
"01-991711","John Joseph Bartholdi","University of Connecticut","209 Jewett","Storrs","CT","06269-9012","halfway@tnext.com","03/14/1971","RB","120.00","100.00","203.75"
"01-995792","Lyle Heller","San Bernardina Sales Corp.","37654 Sepulveda","San Bernardino","CA","92407-4405","susan@desert.net","04/31/1967","FA","161.00","161.00","615.55"
"02-007827","Charles George Bird","","4454B Missouri Ave","Columbia","MO","65211-0001","able@msn.com","03/08/1972","LA|CA","104.00","40.12","40.12"
"02-015876","Henery L Lee","","340 S San Dimas Canyon Road","San Dimas","CA","91773-0034","nadcox@mtsac.net","10/23/1942","LA","130.00","141.86","301.90"
"02-043527","Jeffrey Martin","","1529 Eighteenth Street N W","Washington","DC","20036-4559","dalbers@maa.org","09/10/1955","AB|MA|ED","130.00","65.00","303.80"
"02-048548","Gary W Clendenen","","2869 N Weil Street Apartment 4","Milwaukee","WI","53212-2672","bader72@csd.com","01/09/1961","KA","124.00","124.00","248.51"
"02-061352","Matthew P Tedesco","","85 First Street","Keyport","NJ","07735-1503","asquared@mathnstuff.com","01/06/1951","CB|JA","107.00","107.00","72.71"
"02-064676","Gary K. Hunter","","92 Sander Street","Rochester","NY","14605-1650","turk34@hotmail.com","07/14/1972","GA","131.00","131.00","314.04"
"02-074803","Hilda Blanco","","1251 E Guinevere Court","Springfield","MO","65804-2290","amaberle@hotmail.com","06/27/1975","EA","104.00","41.00","41.67"
"02-077689","Paul Reversson","","4356 City Court","Garden City","NY","11530-0087","preversson@earthlink.net","06/27/1975","EA","104.00","0.00","0.00"
